"Position","Author Name","Author Profile Link","Article Title","Article Link","Article Image","Publication Date"
1,"Yennie Jun","https://towardsdatascience.com/@artfish","A mini multi-agent competition among 3 different LLM agents","https://towardsdatascience.com/llm-vs-llm-codenames-tournament-f8170dd1c8fb?source=---------0","https://cdn-images-1.medium.com/fit/t/1600/480/1*nURD0TUOrIzsuXubABRSUw.png","Oct 12"
2,"LucianoSphere (Luciano Abriata, PhD)","https://towardsdatascience.com/@lucianosphere","To Demis Hassabis and John Jumper, from…","https://towardsdatascience.com/why-the-2024-nobel-prize-in-ai-for-chemistry-matters-so-much-a06126cb5ca3?source=---------1","https://cdn-images-1.medium.com/fit/t/1600/480/1*piUtOkuoc6ByxPz4h03Opg.png","Oct 12"
3,"Samy Baladram","https://towardsdatascience.com/@samybaladram","CLASSIFICATION ALGORITHM","https://towardsdatascience.com/gaussian-naive-bayes-explained-a-visual-guide-with-code-examples-for-beginners-04949cef383c?source=---------2","https://cdn-images-1.medium.com/fit/t/1600/480/1*tqvZ91E05rBiWmD7XwDRLA.png","Oct 12"
4,"Pau Blasco i Roca","https://towardsdatascience.com/@paublascoroca","Misinformation and poor research: a case study","https://towardsdatascience.com/bursting-the-ai-hype-bubble-once-and-for-all-581a994fe762?source=---------3","https://cdn-images-1.medium.com/fit/t/1600/480/1*qZLNJHtLetCAoYKkm3sR5A.png","Oct 12"
5,"Egor Howell","https://towardsdatascience.com/@egorhowell","Data science advice that you should question","https://towardsdatascience.com/common-misconceptions-about-data-science-4978963ba98c?source=---------4","https://cdn-images-1.medium.com/fit/t/1600/480/0*X6j7VzeX0nLsCrPc","Oct 11"
6,"Aamir Mushir Khan","https://towardsdatascience.com/@aamir-khan","Unleashing the Gradient: How JAX Makes…","https://towardsdatascience.com/understanding-automatic-differentiation-in-jax-a-deep-dive-179bbdf01e87?source=---------5","https://cdn-images-1.medium.com/fit/t/1600/480/0*_xzEpHWac_v0LCNV","Oct 11"
7,"Alex Held","https://towardsdatascience.com/@helloheld","Combining reader feedback…","https://towardsdatascience.com/a-mixed-methods-approach-to-offline-evaluation-of-news-recommender-systems-7dc7e9f0b501?source=---------6","https://cdn-images-1.medium.com/fit/t/1600/480/1*p11gAo5g6STZt6wftn0DQQ.png","Oct 11"
8,"Benjamin McCloskey","https://towardsdatascience.com/@ben-mccloskey20","Leveraging topic modeling to align user queries with…","https://towardsdatascience.com/topic-alignment-for-nlp-recommender-systems-b35ef2902c1a?source=---------7","https://cdn-images-1.medium.com/fit/t/1600/480/0*OXqvvXTwyDyAB71A","Oct 11"
9,"Ebrahim Pichka","https://towardsdatascience.com/@ebrahimpichka","An introduction to the mechanics of…","https://towardsdatascience.com/automatic-differentiation-autodiff-a-brief-intro-with-examples-3f3d257ffe3b?source=---------8","https://cdn-images-1.medium.com/fit/t/1600/480/0*2zoQV7HydfU2dV8c","Oct 11"
10,"Caroline Arnold","https://towardsdatascience.com/@caroline.arnold_63207","Storm chasing for data scientists: A Hurricane Milton case…","https://towardsdatascience.com/tracking-hurricanes-with-ai-weather-models-6f09e5b52839?source=---------9","https://cdn-images-1.medium.com/focal/1600/480/33/44/1*J88QY4DZA1LTWeYQaf7kOA.png","Oct 11"
11,"Samuele Mazzanti","https://towardsdatascience.com/@mazzanti.sam","Linear models can handle…","https://towardsdatascience.com/non-linearity-can-linear-regression-compete-with-gradient-boosting-e4f88d81d105",,"Oct 11"
12,"Charles Ide","https://towardsdatascience.com/@charles.ide","You’ve heard of OpenAI and Nvidia, but do you…","https://towardsdatascience.com/what-goes-into-ai-exploring-the-genai-technology-stack-7147d147997b",,"Oct 11"
13,"Leonardo Anello","https://towardsdatascience.com/@panData","Building, comparing, and optimizing…","https://towardsdatascience.com/model-selection-building-5-machine-learning-models-part-ii-3be49fb0dc61",,"Oct 10"
14,"Robin von Malottki","https://towardsdatascience.com/@robinvm","How data can reveal the true nature of anyone","https://towardsdatascience.com/the-transparent-human-4f58feae85f7",,"Oct 10"
15,"Dr. Varshita Sher","https://towardsdatascience.com/@varshitasher","Generative AI","https://towardsdatascience.com/is-googles-notebooklm-going-to-disrupt-the-podcasting-industry-ea8e1ec7f431",,"Oct 10"
16,"Tigran Hayrapetyan","https://towardsdatascience.com/@tigran.cs","A sequence partitioning algorithm that…","https://towardsdatascience.com/cyclic-partition-an-up-to-1-5x-faster-partitioning-algorithm-e38bf7948a5f",,"Oct 10"
17,"TDS Editors","https://towardsdatascience.com/@towardsdatascience","Our weekly selection of must-read…","https://towardsdatascience.com/all-about-ai-agents-autonomy-reasoning-alignment-and-more-c71229f53ece",,"Oct 10"
18,"Mengliu Zhao","https://towardsdatascience.com/@mengliuz","From LLaVA, Flamingo, to NVLM","https://towardsdatascience.com/a-walkthrough-of-nvidias-latest-multi-modal-llm-family-fdc067b59596",,"Oct 10"
19,"René Bremer","https://towardsdatascience.com/@rebremer","Optimizing data transfer for enterprise data…","https://towardsdatascience.com/how-to-parallelize-copy-activities-in-azure-data-factory-5d21df7b8562",,"Oct 10"
20,"Benjamin Marie","https://towardsdatascience.com/@bnjmn_marie","Finding the right trade-off between…","https://towardsdatascience.com/fine-tuning-llms-with-32-bit-8-bit-and-paged-adamw-optimizers-1034e3105634",,"Oct 10"
21,"Leonardo Anello","https://towardsdatascience.com/@panData","Comprehensive tutorial on class balancing for…","https://towardsdatascience.com/model-selection-a-guide-to-class-balancing-part-i-14b17003186f",,"Oct 10"
22,"Hector Andres Mejia Vallejo","https://towardsdatascience.com/@hectormrejia","Get started with Airbyte and Cloud Storage","https://towardsdatascience.com/low-code-data-connectors-and-destinations-b044128c72ca",,"Oct 10"
23,"Samy Baladram","https://towardsdatascience.com/@samybaladram","REGRESSION ALGORITHM","https://towardsdatascience.com/decision-tree-regressor-explained-a-visual-guide-with-code-examples-fbd2836c3bef",,"Oct 10"
24,"Nikos Kafritsas","https://towardsdatascience.com/@nikoskafritsas",,"https://towardsdatascience.com/forecasting-with-nhits-uniting-deep-learning-signal-processing-theory-for-superior-accuracy-9933b119a494",,"Oct 10"
25,"Eivind Kjosbakken","https://towardsdatascience.com/@oieivind","Learn how you can fine-tune Llama3.2…","https://towardsdatascience.com/fine-tune-llama-3-2-for-powerful-performance-in-targeted-domains-8c4fccef93dd",,"Oct 10"
26,"Thuwarakesh Murallie","https://towardsdatascience.com/@thuwarakesh","Here’s how not to waste your…","https://towardsdatascience.com/llm-evaluation-techniques-and-costs-3147840afc53",,"Oct 9"
27,"Quentin Gallea, PhD","https://towardsdatascience.com/@quentin.gallea","Google Colab and its integrated Generative AI, a…","https://towardsdatascience.com/the-easiest-way-to-learn-and-use-python-today-8a230424ece4",,"Oct 9"
28,"Lucas Braga","https://towardsdatascience.com/@lucasbraga461","A/B Testing, Reject Inference, and How to Get the Right Sample Size…","https://towardsdatascience.com/mastering-sample-size-calculations-75afcddd2ff3",,"Oct 9"
29,"Cristian Leo","https://towardsdatascience.com/@cristianleo120","Optimizing Sparse Neural Networks: Understanding Gradient Flow for Faster…","https://towardsdatascience.com/keep-the-gradients-flowing-5b9bf0098e3d",,"Oct 9"
30,"Farzad Nobar","https://towardsdatascience.com/@fmnobar","Let’s rebuild our data science foundation.","https://towardsdatascience.com/mathematics-i-look-for-in-data-scientist-interviews-7c7cb1aaebe5",,"Oct 9"
31,"Javier Marin","https://towardsdatascience.com/@javier-marin","A new approach to AI reasoning optimization","https://towardsdatascience.com/from-newton-to-neural-networks-cbbccc7e3ca0",,"Oct 9"
32,"Shaw Talebi","https://towardsdatascience.com/@shawhin","From beginner-friendly to advanced","https://towardsdatascience.com/5-ai-projects-you-can-build-this-weekend-with-python-c57724e9c461",,"Oct 9"
33,"Niklas Lang","https://towardsdatascience.com/@niklas_lang","Exploring how fuzzy logic enhances…","https://towardsdatascience.com/embracing-uncertainty-the-power-of-fuzzy-logic-in-decision-making-73abb7c30ac4",,"Oct 9"
34,"Robson Tigre","https://towardsdatascience.com/@robson.tigre0",,"https://towardsdatascience.com/itt-vs-late-estimating-causal-effects-with-iv-in-experiments-with-imperfect-compliance-7ca1220fe425",,"Oct 9"
35,"Conor O'Sullivan","https://towardsdatascience.com/@conorosullyds","Empirical and theoretical evidence for why…","https://towardsdatascience.com/evaluating-edge-detection-dont-use-rmse-psnr-or-ssim-841a0f2a12cb",,"Oct 8"
36,"Mengliu Zhao","https://towardsdatascience.com/@mengliuz","On multi-modal LLM Flamingo’s vision encoder","https://towardsdatascience.com/from-set-transformer-to-perceiver-sampler-2f18e741d242",,"Oct 8"
37,"Iqbal Rahmadhan","https://towardsdatascience.com/@miqbalrp","A comprehensive guide on how to extract and…","https://towardsdatascience.com/a-deeper-dive-into-odds-ratios-using-logistic-regression-1e861108f405",,"Oct 8"
38,"Matthew Gunton","https://towardsdatascience.com/@mgunton7","Going into the Google DeepMind’s “Scaling…","https://towardsdatascience.com/how-to-improve-model-quality-without-building-larger-models-d6c8e76a86fe",,"Oct 8"
39,"Kartik Singhal","https://towardsdatascience.com/@kgk.singhal","7 steps that helped me transition from a…","https://towardsdatascience.com/make-the-switch-from-software-engineer-to-ml-engineer-7a4948730c97",,"Oct 8"
40,"Marcos Santiago","https://towardsdatascience.com/@marcosss","Discover how to use cosine…","https://towardsdatascience.com/still-manually-reviewing-all-user-interactions-for-your-ai-solutions-4aad72a33ca7",,"Oct 8"
41,"Sachin Date","https://towardsdatascience.com/@timeseriesreasoning","Can you guess the true fraction of…","https://towardsdatascience.com/fisher-information-a-clinical-dissection-of-an-enigmatic-concept-aa5e5032acd5",,"Oct 8"
42,"Carl M. Kadie","https://towardsdatascience.com/@carlmkadie","Practical lessons from porting range-set-blaze to WASM","https://towardsdatascience.com/nine-rules-for-running-rust-in-the-browser-8228353649d1",,"Oct 8"
43,"Saankhya Mondal","https://towardsdatascience.com/@saankhya","Important concepts in information theory…","https://towardsdatascience.com/understanding-kl-divergence-entropy-and-related-concepts-75e766a2fd9e",,"Oct 8"
44,"Lee Vaughan","https://towardsdatascience.com/@lee_vaughan","QUICK SUCCESS DATA SCIENCE","https://towardsdatascience.com/precisely-compare-geographical-regions-with-geopandas-b7d4acadf83c",,"Oct 8"
45,"Hennie de Harder","https://towardsdatascience.com/@hennie-de-harder",,"https://towardsdatascience.com/graph-neural-networks-part-2-graph-attention-networks-vs-gcns-029efd7a1d92",,"Oct 8"
46,"Andy McDonald","https://towardsdatascience.com/@andymcdonaldgeo","Using Plotly rectangle shapes to improve data…","https://towardsdatascience.com/adding-gradient-backgrounds-to-plotly-charts-1dec85dd3227",,"Oct 8"
47,"Marina Tosic","https://towardsdatascience.com/@martosi",,"https://towardsdatascience.com/opening-pandoras-box-conquer-the-7-bringers-of-evil-in-data-cloud-migration-and-greenfield-d7a18912f2a1",,"Oct 8"
48,"Michal Szudejko","https://towardsdatascience.com/@michalszudejko","So that it is understandable and engaging to (almost)…","https://towardsdatascience.com/how-to-talk-about-data-and-analysis-simply-03c0d0c56ad7",,"Oct 8"
49,"Chaim Rand","https://towardsdatascience.com/@chaimrand","Accelerating AI/ML Model Training with Custom Operators —…","https://towardsdatascience.com/implementing-sequential-algorithms-on-tpu-41d75c6aaa95",,"Oct 7"
50,"Eyal Kazin","https://towardsdatascience.com/@eyal-kazin","Warning: You’ll never look at data in the…","https://towardsdatascience.com/mastering-simpsons-paradox-my-gateway-drug-to-causality-87e10b613a80",,"Oct 7"
